"","V1","Article_Number","Second_Filter_Flag","Article_Title","Authors","Abstract","Email_Addresses","Publication_Year","DOI","Source_Title","Keyword_Search","Reviewer","Recorder","Decision","Removal_Criteria","study_type","subject_1","subject_2","subject_3","subject_4","hybridization","system","tax_group","country_samp","loc_samp","year_samp","num_samp","gen_time","study_design","type_change","driver_process1","driver_process2","driver_process3","length_process","data_type","tissue_type","preserv_method","extract_method","seq_platform","lib_prep_method","notes","TP_1","NS_1","NS_2","NS_3","NS_4","NS_5","NS_6","NS_7","NS_8","NS_9","NS_10","NS_11","NS_12","NS_13","NS_14","NS_15","NS_16","NS_17","NS_18","NS_19","NS_20","NS_21","NS_22","NS_23","NS_24","NS_25","NS_26","NS_27","NS_28","NS_29","NS_30","NS_31","NS_32","NS_33","NS_34","NS_35","NS_36","NS_37","NS_38","NS_39","NS_40","NS_41","NS_42","NS_43","NS_44","NS_45","NS_46","NS_47","NS_48","NS_49","NS_50","NS_51","NS_52","NS_53","NS_54","NS_55","NS_56","NS_57","NS_58","NS_59","NS_60","NS_61","NS_62","NS_63","country_1","country_2","country_3","country_4","country_5","country_6","country_7","country_8","country_9","country_10","country_11","country_12","country_13","country_14","country_15","country_16","country_17","country_18","country_19","country_20","country_21","country_22","country_23","country_24","country_25","country_26","country_27","country_28","country_29","country_30","country_31","country_32","country_33","country_34","country_35","country_36","country_37","country_38","country_39","seq_platofrm","max_gen_diff","max_day_diff","max_year_diff"
"99",115,3764,"","Long-term genetic consequences of mammal reintroductions into an Australian conservation reserve","White, LC; Moseby, KE; Thomson, VA; Donnellan, SC; Austin, JJ","Reintroduction programs aim to restore self-sustaining populations of threatened species to their historic range. However, demographic restoration may not reflect genetic restoration, which is necessary for the long-term persistence of populations. Four threatened Australian mammals, the greater stick-nest rat (Leporillus conditor), greater bilby (Macrotis lagotis), burrowing bettong (Bettongia lesueur) and western barred bandicoot (Perameles bougainville), were reintroduced at Arid Recovery Reserve in northern South Australia over the last 18 years. These reintroductions have been deemed successful based on population growth and persistence, however the genetic consequences of the reintroductions are not known. We generated large single nucleotide polymorphism (SNP) datasets for each species currently at Arid Recovery and compared them to samples collected from founders. We found that average genetic diversity in all populations at the Arid Recovery Reserve are close to, or exceeding, the levels measured in the founders. Increased genetic diversity in two species was achieved by admixing slightly diverged and inbred source populations. Our results suggest that genetic diversity in trans located populations can be improved or maintained over relatively long time frames, even in small conservation reserves, and highlight the power of admixture as a tool for conservation management.","lauren_white@eva.mpg.de",2018,"10.1016/j.biocon.2017.12.038","BIOLOGICAL CONSERVATION","ancient-dna","RC","RC","accept","accept","empirical","diversity","","","","","terrestrial","Mammalia","Australia","Arid Recovery,Bernier Island","2014.01.01,2001.09.01","18,9",365,"pre-designed","anthropogenic","invasive_species","competition","habitat_loss","chronic","SNP","ear",NA,"salting out (Rivero et al. 2006)","Illumina_NextSeq","RAD","Western barred bandicoot (WBB); Arid Recovery in 2014, Bernier Island in 2001; generation time pulled from: http://www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=278","2014.01.01","18","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Australia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.3424657534247,4505,12.3424657534247
"100",116,7218,"","Loss of genetic diversity and reduction of genetic distance among lake trout Salvelinus namaycush ecomorphs, Lake Superior 1959 to 2013","Baillie, SM; Muir, AM; Scribner, K; Bentzen, P; Krueger, CC","North America's northern lakes are undergoing major changes. Lake Superior is the coldest and northernmost of the Laurentian Great Lakes. Here, we present an extension of a long-term data set that monitors genetic and phenotypic diversity of lake trout Salvelinus namaycush in Lake Superior. Hypotheses were investigated pertaining to loss of genetic diversity and genetic homogenization among three lake trout ecomorphs in Lake Superior during their recovery several decades after a major fishery collapse in the early 1960s. Comparison of a contemporary (2004-2013) microsatellite DNA data set to a previously published, post-collapse recovery period data set (1995-1999) indicated substantive losses in genetic diversity. Allelic richness decreased by 5.7%, 12.3%, and 6.8% at Isle Royale, Stannard Rock, and Klondike Reef, respectively. A 60.7% reduction in genetic distance among ecomorphs since the 1990s was detected. Comparisons with a third data set of samples collected during the fishery collapse (1959) indicated an overall 18.2% loss in allelic richness at Isle Royale. The amount of introgression among ecomorphs has likely increased over time. Apparent losses in genetic diversity could be a consequence of historical fishery harvests (early 1900s) exacerbated by intensive stocking (1950s-1980s) and invasions of non-native species (1960s-1990s). Overlap in foraging and breeding areas may have contributed to increasing levels of hybridization among ecomorphs. Knowledge of these processes will help to identify impediments and strategies for the maintenance of lake trout biodiversity in northern Great Lakes, and their re-establishment in the Laurentian Great Lakes. (C) 2016 The Authors. Published by Elsevier B.V. on behalf of International Association for Great Lakes Research.","shauna.baillie@dal.ca",2016,"10.1016/j.jglr.2016.02.001","JOURNAL OF GREAT LAKES RESEARCH","historical-dna","ACS","RC","accept","accept","empirical","diversity","","","","yes","freshwater","Actinopterygii","USA","Isle Royale,Stannard Rock,Klondike Reef","2008.01.01,1997.01.01,1959.01.01","313.42.23,251.141.128,26",2555,"opportunistic","anthropogenic","human_exploitation","invasive_species","","chronic","microsat","fin clips, scales","DESS","Proteinase K, Chelex","Sanger","PCR","1959 only for Isle Royale; 1997 represents 1995-1999, 2008 represents 2004-2013","2008.01.01","313.42.23","251.141.128","26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.00469667318982,17897,49.0328767123288
"101",117,6794,"","Genetic diversity decreases as population density declines: Implications of temporal variation in mitochondrial haplotype frequencies in a natural population of Tscherskia triton","Xie, JY; Zhang, ZB","Although the spatial genetic differentiation that occurs in animal populations has been extensively studied, information on temporal variations in genetic structure and diversity is still lacking, especially for animals with oscillating populations. In the present study, we used the mtDNA D-loop sequence to assess the temporal genetic variation in samples from six successive years for the greater long-tailed hamster, Tscherskia triton. Sampling was carried out between 1998 and 2003 in cropland on the North China Plain, China. A total of 108 individuals were analyzed. The temporal samples showed a high level of genetic diversity. Substantial genetic changes in haplotype frequencies over time were detected for the hamster population. Random genetic drift and migration are likely to be the major factors responsible for the observed temporal pattern. The genetic diversity of the hamster population was higher in years with higher population density, and lower in years with lower population density. The result supports our hypothesis that genetic diversity decreases when population density declines in animals whose population oscillates greatly between years. The combined effects of inbreeding and genetic drift caused by reproduction, dispersal and population size might play important roles in the observed changes in genetic structure and diversity between years.","zhangzb@ioz.ac.cn",2006,"10.1111/j.1749-4877.2006.00035.x","INTEGRATIVE ZOOLOGY","temporal-genetics","KJ","RC","accept","accept","empirical","diversity","popsize","","","","terrestrial","Mammalia","China","Raoyang County","2003.01.01,2002.01.01,2001.01.01,2000.01.01,1999.01.01,1998.01.01","20,13,17,20,19,19",70,"pre-designed","natural","env_variation","","","chronic","mtDNA_seq","muscle","ethanol","phenol-chloroform","Sanger","PCR","","2003.01.01","20","13","17","20","19","19",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"China",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.0857142857143,1826,5.0027397260274
"102",118,2745,"","Crumbling diversity: comparison of historical archived and contemporary natural populations indicate reduced genetic diversity and increasing genetic differentiation in the golden-cheeked warbler","Athrey, G; Lindsay, DL; Lance, RF; Leberg, PL","Genetic viability of threatened and endangered species is of increasing concern with habitat loss and fragmentation. Valuable assessments of the genetic status of endangered species are difficult in most cases, where only single sample estimates are available. Using historical and contemporary samples, we assessed the impact of both historical and recent demographic changes on population genetics of the endangered golden-cheeked warbler, (Dendroica chrysoparia). Our study documents a steep decline in genetic diversity in an endangered species over a 100-year period, along with concurrent increase in genetic differentiation, and low contemporary effective sizes for all the populations we evaluated. While adding to the growing body of literature that describes the genetic impacts of habitat fragmentation, our study may also serve as an informative guide to future management of endangered species. Our study underlines the importance of long term population genetic monitoring in understanding the full extent of genetic changes in endangered species.","giri.athrey@tamu.edu",2011,"10.1007/s10592-011-0235-8","CONSERVATION GENETICS","temporal-genetics","ACS","RC","accept","accept","empirical","diversity","popsize","","","","terrestrial","Aves","USA","Bexar,Kerr,Travis","2005.01.01,1915.01.01,1913.01.01,1900.01.01,1890.01.01","17.31.17,33,16,9,11",365,"pre-designed","anthropogenic","habitat_loss","","","chronic","microsat","skin","dried","Qiagen","Sanger","PCR","all 2005, Bexar in 1890, Travis in 1913, Kerr in 1915 & 1900","2005.01.01","17.31.17","33","16","9","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.076712328767,42003,115.076712328767
"103",119,5403,"","An American termite in Paris: temporal colony dynamics","Baudouin, G; Dedeine, F; Bech, N; Bankhead-Dronnet, S; Dupont, S; Bagneres, AG","Termites of the genus Reticulitermes are widespread invaders, particularly in urban habitats. Their cryptic and subterranean lifestyle makes them difficult to detect, and we know little about their colony dynamics over time. In this study we examined the persistence of Reticulitermes flavipes (Kollar) colonies in the city of Paris over a period of 15 years. The aim was (1) to define the boundaries of colonies sampled within the same four areas over two sampling periods, (2) to determine whether the colonies identified during the first sampling period persisted to the second sampling period, and (3) to compare the results obtained when colonies were delineated using a standard population genetic approach versus a Bayesian clustering method that combined both spatial and genetic information. Herein, colony delineations were inferred from genetic differences at nine microsatellite loci and one mitochondrial locus. Four of the 18 identified colonies did not show significant differences in their genotype distributions between the two sampling periods. While allelic richness was low, making it hard to reliably distinguish colony family type, most colonies appeared to retain the same breeding structure over time. These large and expansive colonies showed an important ability to fuse (39% were mixed-family colonies), contained hundreds of reproductives and displayed evidence of isolation-by-distance, suggesting budding dispersal. These traits, which favor colony persistence over time, present a challenge for pest control efforts, which apply treatment locally. The other colonies showed significant differences, but we cannot exclude the possibility that their genotype distributions simply changed over time.","ag.bagneres@cefe.cnrs.fr",2017,"10.1007/s10709-017-9991-9","GENETICA","temporal-genetics","KF","RC","accept","accept","empirical","diversity","connectivity","","","","terrestrial","Insecta","France","A1C1,A1C3,A1C4,A3C1,A3C2,A4C1","2016.01.01,2001.01.01","20.50.20.30.20.70,10.160.10.30.30.60",NA,"opportunistic","natural","env_variation","invasive_species","","chronic","microsat","head,thorax","ethanol","Qiagen,Promega","Sanger","PCR","","2016.01.01","20.50.20.30.20.70","10.160.10.30.30.60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5478,15.0082191780822
"104",121,2708,"","Low Genetic Variation of Red-crowned Cranes on Hokkaido Island, Japan, Over the Hundred Years","Akiyama, T; Momose, K; Onuma, M; Matsumoto, F; Masuda, R","The red-crowned crane (Grus japonensis) is recognized internationally as an endangered species. Migratory populations breed in eastern Russia and northeastern China, whereas the resident population inhabits the island of Hokkaido, Japan. Although the population inhabiting Hokkaido had experienced a severe bottleneck by the end of the 19th century, the population size has recovered to about 1500 and continues to increase now thanks to conservation efforts. A previous study reported that no marked genetic differences were seen in the island population, and that the genetic variation of the whole population on Hokkaido was lower than that of the continental population. However, the precise genetic structure of the island population in the past or near present remains unclear. To better understand the spatiotemporal changes in the genetic structure of the island population, we performed mitochondrial DNA (mtDNA) analyses using stuffed specimens (years 1878-2001) and tissue or blood samples (years 1970-2014). We found three haplotypes in the island population, one of which was a novel mtDNA haplotype in 1997 and 2007 samples. In addition, there was no clear difference in the haplotype frequency through the time span. These results suggest that the low genetic variation of the island population persisted for the last hundred years. It is thus nearly impossible for the island population to recover its genetic variation in isolation. Conservation plans for this species should therefore include the promotion of genetic exchanges between the continental and island populations, such as through artificial introduction to Hokkaido.","masudary@sci.hokudai.ac.jp",2017,"10.2108/zs160194","ZOOLOGICAL SCIENCE","historical-dna","KJ","RC","accept","accept","empirical","diversity","popsize","","","","other","Aves","Japan","Hokkaido","2012.01.01,2005.01.01,1995.01.01,1985.01.01,1928.01.01","83,117,16,9,5",1278,"opportunistic","anthropogenic","habitat_loss","human_exploitation","","chronic","mtDNA_seq","feather,blood","dried","Qiagen","Sanger","PCR","Samples grouped by decade, so took midpoint of decade (2010s all before 2014) except for last one (midpoint of 1878-1978);estimated from wikipedia","2012.01.01","83","117","16","9","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Japan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0070422535211,30681,84.0575342465753
"105",122,3178,"","European Colonization, Not Polynesian Arrival, Impacted Population Size and Genetic Diversity in the Critically Endangered New Zealand Kakapo","Bergner, LM; Dussex, N; Jamieson, IG; Robertson, BC","Island endemic species are often vulnerable to decline and extinction following human settlement, and the genetic study of historical museum specimens can be useful in understanding these processes. The kakapo (Strigops habroptilus) is a critically endangered New Zealand parrot that was formerly widespread and abundant. It is well established that both Polynesian and European colonization of New Zealand impacted the native avifauna, but the timeframe and severity of impacts have differed depending on species. Here, we investigated the relative importance of the 2 waves of human settlement on kakapo decline, using microsatellites and mitochondrial DNA (mtDNA) to characterize recent kakapo genetic and demographic history. We analyzed samples from 49 contemporary individuals and 54 museum specimens dating from 1884 to 1985. Genetic diversity decreased significantly between historical and contemporary kakapo, with a decline in mean number of microsatellite alleles from 6.15 to 3.08 and in number of mtDNA haplotypes from 17 to 3. Modeling of demographic history indicated a recent population bottleneck linked to the period of European colonization (approximately 5 generations ago) but did not support a major decline linked to Polynesian settlement. Effective population size estimates were also larger for historical than contemporary kakapo. Our findings inform contemporary kakapo management by indicating the timeframe and possible cause of the bottleneck, which has implications for the management of extant genetic diversity. We demonstrate the broader utility of a historical perspective in understanding causes of decline and managing extinction risk in contemporary endangered species.","l.bergner.1@research.gla.ac.uk",2016,"10.1093/jhered/esw065","JOURNAL OF HEREDITY","ancient-dna","KC","RC","accept","accept","empirical","diversity","popsize","","","","terrestrial","Aves","NewZealand","New Zealand","1995.01.01,1934.01.01","45,51",9125,"opportunistic","anthropogenic","invasive_species","habitat_loss","human_exploitation","chronic","mtDNA_seq","blood,skin","dried","5% Chelex protocol,Qiagen","Sanger","PCR","1995 represents 1985-2005, 1934 represents 1884-1985, skin samples were dried but don't know how blood was stored","1995.01.01","45","51",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NewZealand",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.44164383561644,22280,61.041095890411
"106",124,2489,"","History matters: contemporary versus historic population structure of bobcats in the New England region, USA","Carroll, RP; Litvaitis, MK; Clements, SJ; Stevens, CL; Litvaitis, JA","Habitat fragmentation and genetic bottlenecks can have substantial impacts on the health and management of wildlife species by lowering diversity and subdividing populations. Population genetic comparisons across time periods can help elucidate temporal changes in populations and the processes responsible for the changes. Bobcats (Lynx rufus) are wide-ranging carnivores and are currently increasing in abundance across an expanding range. Bobcat populations in New England have fluctuated in the past century in response to changes in their prey base, harvest pressure, and landscape development. We genotyped contemporary (2010-2017) and historic (1952-1964) bobcats from New England and Quebec, Canada at a suite of microsatellite loci and tested for differences in diversity, effective population size, and gene flow. Over 20 generations separated the sampling periods, and the intervening years were marked by drastic changes in land use and species management regimes. We found a general decrease in genetic diversity and differing population genetic structure through time. Effective population size decreased at the end of the historic period, coincident with a spike in harvest, but rebounded to greater numbers in the contemporary period. Our results suggest that bobcat populations in the region are robust, but development and range dynamics may play a significant role in population structure. Our study also highlights the benefits of a historical perspective in interpreting contemporary population genetic data.","rorypocarroll@gmail.com",2019,"10.1007/s10592-019-01170-8","CONSERVATION GENETICS","temporal-genetics","EG","RC","accept","accept","empirical","diversity","popsize","connectivity","","","terrestrial","Mammalia","USA","New Hampshire","2014.01.01,1958.01.01","236,59",730,"opportunistic","anthropogenic","habitat_loss","human_exploitation","","chronic","microsat","bone","dried","EDTA,1% SDS,10 mM DTT,1 mg/ul proteinase K","Sanger","PCR","took midpoint of sample date range for both timepoints","2014.01.01","236","59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.0191780821918,20454,56.0383561643836
"107",125,2650,"","Post-colonization temporal genetic variation of an introduced fly, Rhagoletis completa","Chen, YH; Berlocher, SH; Opp, SB; Roderick, GK","Evolutionary biologists have been puzzled by the success of introduced species: despite founder effects that reduce genetic variability, invasive species are still successful at colonizing new environments. It is possible that the evolutionary processes during the post-colonization period may increase the genetic diversity and gene flow among invasive populations over time, facilitating their long-term success. Therefore, genetic diversity and population structure would be expected to show greater temporal variation for successful introduced populations than for native populations. We studied the population genetics of the walnut husk fly, Rhagoletis completa, which was introduced into California from the Midwestern US in the early 1900s. We used microsatellites and allozymes to genotype current and historic fly populations, providing a rare perspective on temporal variability in population genetic parameters. We found that introduced populations showed greater temporal fluctuations in allele frequencies than native populations. Some introduced populations also showed an increase in genetic diversity over time, indicating multiple introductions had occurred. Population genetic structure decreased in both native and introduced populations over time. Our study demonstrates that introduced species are not at equilibrium and post-colonization processes may be important in ameliorating the loss of genetic diversity associated with biological invasions.","Yolanda.Chen@uvm.edu",2010,"10.1007/s10709-010-9491-7","GENETICA","temporal-genetics","BR","RC","accept","accept","empirical","diversity","connectivity","popsize","","","terrestrial","Insecta","USA","Hays,I-70,Junction City,Larence,Medford,Lodi,Upper Lake,San Anselmo","2002.09.01,1976.09.01,1973.09.01","50.50.50.50.50.50.50.50,50.50.50.50,50.50.50.50",365,"opportunistic","natural","invasive_species","env_variation","","chronic","microsat","whole","frozen","Qiagen","Sanger","PCR","Only recording sites that are direct temporal comparisons; assume hist sample sizes are ~50 (based on original publication); all sites sampled in 2002, Hays, I-70, Junction City & Larence in 1976, others in 1973;generation time: http://ipm.ucanr.edu/PMG/PESTNOTES/pn7430.html","2002.09.01","50.50.50.50.50.50.50.50","50.50.50.50","50.50.50.50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.0191780821918,10592,29.0191780821918
"108",126,2626,"","Museum specimens indicate genetic erosion in an endangered lizard","Cornetti, L; Girardi, M; Ghielmi, S; Vernesi, C","Genetic variability, one of the main factors that guarantees species persistence, and species' conservation status are generally evaluated with indices calculated at the present time. Natural history collections might help compare historical and current genetic diversity so to identify major trends. Here we analysed museum specimens of the lizard Zootoca vivipara carniolica, with a specific and stringent protocol for degraded DNA, in order to contrast its past and current genetic variability, using fragments of one mitochondrial DNA gene. Part of the distributional range of Z.v. carniolica (Po Plain, Italy), heavily impacted by human activities, was investigated. We found two previously unknown haplotypes in populations that are extinct today, suggesting the loss of these haplotypes and thus an overall shrinking of genetic variability. We argue that these results, together with the increasing threats posed by climate and land use changes, suggest that specific conservation measures for the persistence of Z. v. carniolica in Northern Italian lowlands have to be considered.","lucacornetti@gmail.com",2018,"10.1163/15685381-17000198","AMPHIBIA-REPTILIA","ancient-dna","AAS","RC","accept","accept","empirical","diversity","","","","","terrestrial","Reptilia","Italy","Palude del Busatello,Padola di Cadore.South Stefano di Cadore,Casalgrasso,Vanchiglia,Cerea,Casaleone,Legnago","1981.01.01,1908.01.01,1885.01.01,1879.01.01,1877.01.01,1874.01.01,1862.01.01","3,5.2,1,2,1,4,2",912,"opportunistic","anthropogenic","habitat_loss","climate_change","","chronic","mtDNA_seq","skin","ethanol,formalin","phenol-chloroform","Sanger","PCR","","1981.01.01","3","5.2","1","2","1","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Italy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6578947368421,43464,119.079452054795
"109",127,4153,"","Ancient DNA reveals substantial genetic diversity in the California Condor (Gymnogyps californianus) prior to a population bottleneck","D'Elia, J; Haig, SM; Mullins, TD; Miller, MP","Critically endangered species that have undergone severe population bottlenecks often have little remaining genetic variation, making it difficult to reconstruct population histories to apply in reintroduction and recovery strategies. By using ancient DNA techniques, it is possible to combine genetic evidence from the historical population with contemporary samples to provide a more complete picture of a species' genetic variation across its historical range and through time. Applying this approach, we examined changes in the mitochondrial DNA (mtDNA) control region (526 base pairs) of the endangered California Condor (Gymnogyps californianus). Results showed >80% reduction in unique haplotypes over the past 2 centuries. We found no spatial sorting of haplotypes in the historical population; the periphery of the range contained haplotypes that were common throughout the historical range. Direct examination of mtDNA from California Condor museum specimens provided a new window into historical population connectivity and genetic diversity showing: (1) a substantial loss of haplotypes, which is consistent with the hypothesis that condors were relatively abundant in the nineteenth century, but declined rapidly as a result of human-caused mortality; and (2) no evidence of historical population segregation, meaning that the available genetic data offer no cause to avoid releasing condors in unoccupied portions of their historical range.","jesse_delia@fws.gov",2016,"10.1650/CONDOR-16-35.1","CONDOR","ancient-dna","BR","RC","accept","accept","empirical","diversity","popsize","","","","terrestrial","Aves","USA","California","1987.01.01,1984.01.01,1966.01.01,1950.01.01,1947.01.01,1940.01.01,1939.01.01,1936.01.01,1923.01.01,1917.01.01,1916.01.01,1908.01.01,1906.01.01,1905.01.01,1903.01.01,1902.01.01,1901.01.01,1900.01.01,1899.01.01,1898.01.01,1897.01.01,1896.01.01,1895.01.01,1894.01.01,1893.01.01,1892.01.01,1890.01.01,1889.01.01,1885.01.01,1877.01.01,1875.01.01,1866.01.01,1859.01.01,1855.01.01,1853.01.01,1840.01.01,1835.01.01,1825.01.01","12,1,1,1,1,1,1,1,1,1,2,1,2,5,3,4,4,3,2,4,3,5,1,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1",2555,"opportunistic","anthropogenic","human_exploitation","habitat_loss","disease","chronic","mtDNA_seq",NA,NA,"Qiagen","Sanger","PCR","generation time pulled from: https://www.biologicaldiversity.org/species/birds/California_condor/natural_history.html; multi-generational for contemp only --> offfspring used in place of founders 2X","1987.01.01","12","1","1","1","1","1","1","1","1","1","2","1","2","5",3,4,"4","3","2",4,3,"5","1","1",2,"2","2","1","1",1,"1","1",1,1,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"USA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1581213307241,59169,162.106849315069
