Article_Number,Second_Filter_Flag,Article_Title,Authors,Abstract,Email_Addresses,Publication_Year,DOI,Source_Title,Keyword_Search,Reviewer,Recorder,Decision,Removal_Criteria,study_type,subject_1,subject_2,subject_3,subject_4,hybridization,system,tax_group,country_samp,loc_samp,year_samp,num_samp,gen_time,study_design,type_change,driver_process1,driver_process2,driver_process3,length_process,data_type,tissue_type,preserv_method,extract_method,seq_platform,lib_prep_method,notes,,,,,,,,,
8723,,Genetic patterns across an invasion's history: a test of change versus stasis for the Eurasian round goby in North America,"Snyder, MR; Stepien, CA","Biological invasions comprise accidental evolutionary experiments, whose genetic compositions underlie relative success, spread and persistence in new habitats. However, little is known about whether, or how, their population genetic patterns change temporally and/or spatially across the invasion's history. Theory predicts that most would undergo founder effect, exhibit low genetic divergence across the new range and gain variation over time via new arriving propagules. To test these predictions, we analyse population genetic diversity and divergence patterns of the Eurasian round goby Neogobius melanostomus across the two decades of its North American invasion in the Laurentian Great Lakes, comparing results from 13 nuclear DNA microsatellite lociand mitochondrial DNA cytochrome b sequences. We test whether genetic stasis', genetic replacement' and/or genetic supplement' scenarios have occurred at the invasion's core and expansion sites, in comparison with its primary native source population in the Dnieper River, Black Sea. Results reveal pronounced genetic divergence across the exotic range, with population areas remaining genetically distinct and statistically consistent across two decades, supporting genetic stasis' and founder takes most'. The original genotypes continue to predominate, whose high population growth likely outpaced the relative success of later arrivals. The original invasion core has stayed the most similar to the native source. Secondary expansion sites indicate slight allelic composition convergence towards the core population over time, attributable to some early genetic supplementation'. The geographic and temporal coverage of this investigation offers a rare opportunity to discern population dynamics over time and space in context of invasion genetic theory vs. reality.",carol.stepien@noaa.gov,2017,10.1111/mec.13997,MOLECULAR ECOLOGY,temporal-genetics,RC,AAS,accept,accept,empirical,connectivity,diversity,,,,freshwater,Actinopterygii,"United States, Ukraine","Saint Clair River,Lake Saint Clair.Lake Errie Islands.Central Lake Erie,Lake Michigan,Lake Erie Islands.Central Lake Erie.Dnieper River Black Sea,Lake Erie Islands,Lake Michigan.Saint Clair River.Lake Saint Clair.Lake Erie Islands.Central Lake Erie.Dnieper River Black Sea,Lake Michigan.Saint Clair River.Lake Erie Islands.Central Lake Erie,Lake Michigan.Saint Clair River.Lake Saint Clair.Lake Erie Islands.Central Lake Erie.Dnieper River Black Sea ","1993.01.01,1998.01.01,1999.01.01,2002.01.01,2005.01.01,2007.01.01,2011.01.01,2013.01.01","45,39.51.24,19,50.29.25,49,50.50.50.40.50.25,44.34.32.45.48,50.50.50.50.50.53",730,pre-designed,natural,invasive_species,,,chronic,mtDNA_seq,fin,ethanol,DNeasy Tissue Kit (Qiagen),ABI 3730 DNA automated sequencer,PCR,Generation time: MacInnis & Corkum 2000; invasive species,,,,,,,,,
8723,,Genetic patterns across an invasion's history: a test of change versus stasis for the Eurasian round goby in North America,"Snyder, MR; Stepien, CA","Biological invasions comprise accidental evolutionary experiments, whose genetic compositions underlie relative success, spread and persistence in new habitats. However, little is known about whether, or how, their population genetic patterns change temporally and/or spatially across the invasion's history. Theory predicts that most would undergo founder effect, exhibit low genetic divergence across the new range and gain variation over time via new arriving propagules. To test these predictions, we analyse population genetic diversity and divergence patterns of the Eurasian round goby Neogobius melanostomus across the two decades of its North American invasion in the Laurentian Great Lakes, comparing results from 13 nuclear DNA microsatellite lociand mitochondrial DNA cytochrome b sequences. We test whether genetic stasis', genetic replacement' and/or genetic supplement' scenarios have occurred at the invasion's core and expansion sites, in comparison with its primary native source population in the Dnieper River, Black Sea. Results reveal pronounced genetic divergence across the exotic range, with population areas remaining genetically distinct and statistically consistent across two decades, supporting genetic stasis' and founder takes most'. The original genotypes continue to predominate, whose high population growth likely outpaced the relative success of later arrivals. The original invasion core has stayed the most similar to the native source. Secondary expansion sites indicate slight allelic composition convergence towards the core population over time, attributable to some early genetic supplementation'. The geographic and temporal coverage of this investigation offers a rare opportunity to discern population dynamics over time and space in context of invasion genetic theory vs. reality.",carol.stepien@noaa.gov,2017,10.1111/mec.13997,MOLECULAR ECOLOGY,temporal-genetics,RC,AAS,accept,accept,empirical,connectivity,diversity,,,,freshwater,Actinopterygii,"United States, Ukraine","Saint Clair River,Lake Saint Clair.Lake Errie Islands.Central Lake Erie,Lake Michigan,Lake Erie Islands.Central Lake Erie.Dnieper River Black Sea,Lake Erie Islands,Lake Michigan.Saint Clair River.Lake Saint Clair.Lake Erie Islands.Central Lake Erie.Dnieper River Black Sea,Lake Michigan.Saint Clair River.Lake Erie Islands.Central Lake Erie,Lake Michigan.Saint Clair River.Lake Saint Clair.Lake Erie Islands.Central Lake Erie.Dnieper River Black Sea ","1993.01.01,1998.01.01,1999.01.01,2002.01.01,2005.01.01,2007.01.01,2011.01.01,2013.01.01","45,39.51.24,19,50.29.25,49,50.50.50.40.50.25,44.34.32.45.48,50.50.50.50.50.53",730,pre-designed,natural,invasive_species,,,chronic,microsat,fin,ethanol,DNeasy Tissue Kit (Qiagen),ABI 3130 automated sequencer,PCR,Generation time: MacInnis & Corkum 2000; invasive species,,,,,,,,,
10640,,"Genetic diversity of endangered brown bear (Ursus arctos) populations at the crossroads of Europe, Asia, and Africa","Calvignac, S; Hughes, S; Hanni, C","Aim Middle East brown bears (Ursus arctos syriacus Hemprich and Ehrenberg, 1828) are presently on the edge of extinction. However, little is known of their genetic diversity. This study investigates that question as well as that of Middle East brown bear relationships to surrounding populations of the species. Location Middle East region of south-western Asia. Methods We performed DNA analyses on 27 brown bear individuals. Twenty ancient bone samples (Late Pleistocene to 20th century) from natural populations and seven present-day samples obtained from captive individuals were analysed. Results Phylogenetic analyses of the mitochondrial sequences obtained from seven ancient specimens identify three distinct maternal clades, all unrelated to one recently described from North Africa. Brown bears from Iran exhibit striking diversity (three individuals, three haplotypes) and form a unique clade that cannot be linked to any extant one. Individuals from Syria belong to the Holarctic clade now observed in Eastern Europe, Turkey, Japan and North America. Specimens from Lebanon surprisingly appear as tightly linked to the clade of brown bears now in Western Europe. Moreover, we show that U. a. syriacus in captivity still harbour haplotypes closely linked to those found in ancient individuals. Main conclusion This study brings important new information on the genetic diversity of brown bear populations at the crossroads of Europe, Asia and Africa. It reveals a high level of diversity in Middle East brown bears and extends the historical distribution of the Western European clade to the East. Our analyses also suggest the value of a specific breeding programme for captive populations.",catherine.hanni@ens-lyon.fr,2009,10.1111/j.1472-4642.2009.00586.x,DIVERSITY AND DISTRIBUTIONS,ancient-dna,RC,AAS,reject,ancient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4767,,"Using genetic variation to infer associations with climate in the common frog, Rana temporaria","Muir, AP; Thomas, R; Biek, R; Mable, BK","Recent and historical species' associations with climate can be inferred using molecular markers. This knowledge of population and species-level responses to climatic variables can then be used to predict the potential consequences of ongoing climate change. The aim of this study was to predict responses of Rana temporaria to environmental change in Scotland by inferring historical and contemporary patterns of gene flow in relation to current variation in local thermal conditions. We first inferred colonization patterns within Europe following the last glacial maximum by combining new and previously published mitochondrial DNA sequences. We found that sequences from our Scottish samples were identical to (92%), or clustered with, the common haplotype previously identified from Western Europe. This clade showed very low mitochondrial variation, which did not allow inference of historical colonization routes but did allow interpretation of patterns of current fine-scale population structure without consideration of confounding historical variation. Second, we assessed fine-scale microsatellite-based patterns of genetic variation in relation to current altitudinal temperature gradients. No population structure was found within altitudinal gradients (average F-ST=0.02), despite a mean annual temperature difference of 4.5 degrees C between low- and high-altitude sites. Levels of genetic diversity were considerable and did not vary between sites. The panmictic population structure observed, even along temperature gradients, is a potentially positive sign for R.temporaria persistence in Scotland in the face of a changing climate. This study demonstrates that within taxonomic groups, thought to be at high risk from environmental change, levels of vulnerability can vary, even within species.",a.muir.2@research.gla.ac.uk,2013,10.1111/mec.12334,MOLECULAR ECOLOGY,historical-dna,JW,AAS,reject,accept,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6504,,Isolation by environment in the highly mobile olive ridley turtle (Lepidochelys olivacea) in the eastern Pacific,"Rodriguez-Zarate, CJ; Sandoval-Castillo, J; van Sebille, E; Keane, RG; Rocha-Olivares, A; Urteaga, J; Beheregaray, LB","Spatial and temporal scales at which processes modulate genetic diversity over the landscape are usually overlooked, impacting the design of conservation management practices for widely distributed species. We examine processes shaping population divergence in highly mobile species by reassessing the case of panmixia in the iconic olive ridley turtle from the eastern Pacific. We implemented a biophysical model of connectivity and a seascape genetic analysis based on nuclear DNA variation of 634 samples collected from 27 nesting areas. Two genetically distinct populations largely isolated during reproductive migrations and mating were detected, each composed of multiple nesting sites linked by high connectivity. This pattern was strongly associated with a steep environmental gradient and also influenced by ocean currents. These findings relate to meso-scale features of a dynamic oceanographic interface in the eastern tropical Pacific (ETP) region, a scenario that possibly provides different cost-benefit solutions and selective pressures for sea turtles during both the mating and migration periods. We reject panmixia and propose a new paradigm for olive ridley turtles where reproductive isolation due to assortative mating is linked to its environment. Our study demonstrates the relevance of integrative approaches for assessing the role of environmental gradients and oceanographic currents as drivers of genetic differentiation in widely distributed marine species. This is relevant for the conservation management of species of highly mobile behaviour, and assists the planning and development of large-scale conservation strategies for the threatened olive ridley turtles in the ETP.",luciano.beheregaray@flinders.edu.au,2018,10.1098/rspb.2018.0264,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,temporal-genetics,JW,AAS,reject,non-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,Uses samples from multple years but lumps them together. Analysis not temporal,,,,,,,,,
6522,,Genetic analyses reveal complex dynamics within a marine fish management area,"Hemmer-Hansen, J; Hussy, K; Baktoft, H; Huwer, B; Bekkevold, D; Haslob, H; Herrmann, JP; Hinrichsen, HH; Krumme, U; Mosegaard, H; Nielsen, EE; Reusch, TBH; Storr-Paulsen, M; Velasco, A; von Dewitz, B; Dierking, J; Eero, M","Genetic data have great potential for improving fisheries management by identifying the fundamental management units-that is, the biological populations-and their mixing. However, so far, the number of practical cases of marine fisheries management using genetics has been limited. Here, we used Atlantic cod in the Baltic Sea to demonstrate the applicability of genetics to a complex management scenario involving mixing of two genetically divergent populations. Specifically, we addressed several assumptions used in the current assessment of the two populations. Through analysis of 483 single nucleotide polymorphisms (SNPs) distributed across the Atlantic cod genome, we confirmed that a model of mechanical mixing, rather than hybridization and introgression, best explained the pattern of genetic differentiation. Thus, the fishery is best monitored as a mixed-stock fishery. Next, we developed a targeted panel of 39 SNPs with high statistical power for identifying population of origin and analyzed more than 2,000 tissue samples collected between 2011 and 2015 as well as 260 otoliths collected in 2003/2004. These data provided high spatial resolution and allowed us to investigate geographical trends in mixing, to compare patterns for different life stages and to investigate temporal trends in mixing. We found similar geographical trends for the two time points represented by tissue and otolith samples and that a recently implemented geographical management separation of the two populations provided a relatively close match to their distributions. In contrast to the current assumption, we found that patterns of mixing differed between juveniles and adults, a signal likely linked to the different reproductive dynamics of the two populations. Collectively, our data confirm that genetics is an operational tool for complex fisheries management applications. We recommend focussing on developing population assessment models and fisheries management frameworks to capitalize fully on the additional information offered by genetically assisted fisheries monitoring.",jhh@aqua.dtu.dk,2019,10.1111/eva.12760,EVOLUTIONARY APPLICATIONS,temporal-genetics,JW,AAS,accept,accept,empirical,connectivity,diversity,,,,marine,Actinopterygii,"Denmark,Germany,Sweden,Poland","Western,Eastern,Mixing Zone,Mixing Zone,Eastern,Western,Mixing Zone,Eastern, Western,Mixing Zone,Mixing Zone,Mixing Zone,Mixing Zone,Mixing Zone,Mixing Zone,Mixing Zone,Mixing Zone,Mixing Zone,Mixing Zone","1996.02.01,1997.04.01,2003.01.01,2004.01.01,2007.02.01,2007.03.01,2011.06.01,2012.01.01,2012.02.01,2013.07.01,2013.11.01,2014.02.01,2014.04.01,2014.08.01,2014.10.01,2015.02.01,2015.07.01,2015.09.01","40,40,128,132,40,37,536,150,150,41,150,150,21,289,145,229,236,90,155",1825,opportunistic,natural,env_variation,,,acute,SNP,bone,dried,Bonanomi et al. 2015,Fluid Biomark HD System,GBS,"Generation time: Therkildsen et al., 2013 supplementary",,,,,,,,,
9816,,Genetic analysis reveals strong phylogeographical divergences within the Scarlet Macaw Ara macao,"Schmidt, KL; Aardema, ML; Amato, G","Scarlet Macaws Ara macao have the largest geographical distribution of any Neotropical psittacine, occupying a variety of lowland forest habitats from Mexico to Brazil. Two subspecies, Ara macao macao and Ara macao cyanoptera, are currently recognized based on wing chord length and plumage coloration, with formal descriptions suggesting genetic introgression in southern Nicaragua and northern Costa Rica. The present study aimed to investigate the extent of genetic diversification within A. macao by analysing mitochondrial sequence data from contemporary and historical samples. Phylogenetic reconstruction and population aggregation analysis confirmed two distinct phylogeographical groups, with a high degree of intraspecific genetic structure and no evidence of a putative hybrid zone. Whole mitochondrial genome sequencing further confirmed substantial divergence (similar to 1.8%) between the cyanoptera and macao lineages. These results demonstrate a separation of A. macao into two distinct evolutionary entities and highlight a non-uniform distribution of intraspecific diversity, suggesting current conservation designations may warrant re-evaluation.",aardemam@montclair.edu,2020,10.1111/ibi.12760,IBIS,historical-dna,JW,AAS,reject,phylogenetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10059,,"Parapatric genetic divergence among deep evolutionary lineages in the Mediterranean green crab, Carcinus aestuarii (Brachyura, Portunoidea, Carcinidae), accounts for a sharp phylogeographic break in the Eastern Mediterranean","Deli, T; Kalkan, E; Karhan, SU; Uzunova, S; Keikhosravi, A; Bilgin, R; Schubart, CD","Background: Recently, population genetic studies of Mediterranean marine species highlighted patterns of genetic divergence and phylogeographic breaks, due to the interplay between impacts of Pleistocene climate shifts and contemporary hydrographical barriers. These factors markedly shaped the distribution of marine organisms and their genetic makeup. The present study is part of an ongoing effort to understand the phylogeography and evolutionary history of the highly dispersive Mediterranean green crab, Carcinus aestuarii (Nardo, 1847), across the Mediterranean Sea. Recently, marked divergence between two highly separated haplogroups (genetic types I and II) of C. aestuarii was discerned across the Siculo-Tunisian Strait, suggesting an Early Pleistocene vicariant event. In order to better identify phylogeographic patterns in this species, a total of 263 individuals from 22 Mediterranean locations were analysed by comparing a 587 basepair region of the mitochondrial gene Cox1 (cytochrome oxidase subunit 1). The examined dataset is composed of both newly generated sequences (76) and previously investigated ones (187). Results: Our results unveiled the occurrence of a highly divergent haplogroup (genetic type III) in the most north-eastern part of the Mediterranean Sea. Divergence between the most distinct type III and the common ancestor of both types I and II corresponds to the Early Pleistocene and coincides with the historical episode of separation between types I and II. Our results also revealed strong genetic divergence among adjacent regions (separating the Aegean and Marmara seas from the remaining distribution zone) and confirmed a sharp phylogeographic break across the Eastern Mediterranean. The recorded parapatric genetic divergence, with the potential existence of a contact zone between both groups in the Ionian Sea and notable differences in the demographic history, suggest the likely impact of paleoclimatic events, as well as past and contemporary oceanographic processes, in shaping genetic variability of this species. Conclusions: Our findings not only provide further evidence for the complex evolutionary history of the green crab in the Mediterranean Sea, but also stress the importance of investigating peripheral areas in the species' distribution zone in order to fully understand the distribution of genetic diversity and unravel hidden genetic units and local patterns of endemism.",Christoph.Schubart@ur.de,2018,10.1186/s12862-018-1167-4,BMC EVOLUTIONARY BIOLOGY,historical-dna,JW,AAS,reject,phylogenetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10698,,The population history of extant and extinct hyenas,"Rohland, N; Pollack, JL; Nagel, D; Beauval, C; Airvaux, J; Paabo, S; Hofreiter, M","We have analyzed partial DNA sequences of the mitochondrial cytochrome b gene from extant striped, brown, and spotted hyenas as well as from Pleistocene cave hyenas. Sequences of the Pleistocene cave hyenas from Eurasia and modern spotted hyenas from Africa are intermixed in phylogenetic analyses, questioning any taxonomic delineation between the two groups. Contrary to cave hyenas in Eurasia, spotted hyenas in Africa show a phylogeographic pattern with little geographical overlap between two mitochondrial DNA (mtDNA) clades, suggesting two Pleistocene refugia in the north and south of Africa. Our results, furthermore, suggest three waves of migration from Africa to Eurasia for spotted hyenas, around 3, 1, and 0.3 MYA. A recent emigration of striped hyenas from Africa to Eurasia took place less than 0.1 MYA, resulting in a dramatic expansion of the geographical range of striped hyenas. In striped hyenas and within the geographical range of mtDNA clades in spotted hyenas, we found identical sequences several thousand kilometers apart, indicating a high rate of migration during the Pleistocene as well as the Holocene. Both striped and brown hyenas show low amounts of genetic diversity, with the latter ones displaying just a single haplotype.",hofreiter@eva.mpg.de,2005,10.1093/molbev/msi244,MOLECULAR BIOLOGY AND EVOLUTION,ancient-dna,JW,AAS,reject,phylogenetics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10833,,Post-glacial colonization of eastern Europe from the Carpathian refugium: evidence from mitochondrial DNA of the common vole Microtus arvalis,"Stojak, J; McDevitt, AD; Herman, JS; Searle, JB; Wojcik, JM","There is now considerable evidence for the survival of temperate species within glacial refugia that were situated at relatively high latitudes, notably the Carpathian Basin and Dordogne region in Europe. However, the prevalence of fossil remains in such locations is rarely matched by molecular evidence for their contribution to subsequent geographical and demographic expansion of the species in question. One obstacle to this has been insufficient analysis of modern samples from the relevant areas, in particular the parts of eastern Europe that surround the Carpathian refugium. In the present study, we examine the patterns of variation in mitochondrial DNA of the common vole (Microtus arvalis), obtained from existing museum specimens and from newly-collected samples obtained in this area. We show that common voles from one of six extant mitochondrial DNA lineages have colonized most of the species' range in eastern Europe. We contend that the post-glacial dispersal of this lineage most likely originated from the Carpathian refugium, adding support to the argument that such northern refugia made an important contribution to existing genetic diversity in Europe.(c) 2015 The Linnean Society of London,",jstojak@ibs.bialowieza.pl,2015,10.1111/bij.12535,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,museum-dna,JW,AAS,reject,non-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,,"Modern and ancient red fox (Vulpes vulpes) in Europe show an unusual lack of geographical and temporal structuring, and differing responses within the carnivores to historical climatic change","Teacher, AGF; Thomas, JA; Barnes, I","Background: Despite phylogeographical patterns being well characterised in a large number of species, and generalised patterns emerging, the carnivores do not all appear to show consistent trends. While some species tend to fit with standard theoretical phylogeographic expectations (e. g. bears), others show little obvious modern phylogeographic structure (e. g. wolves). In this study we briefly review these studies, and present a new phylogeographical study of the red fox (Vulpes vulpes) throughout Europe, using a combination of ancient DNA sequences obtained from museum specimens, and modern sequences collated from GenBank. We used cytochrome b (250 bp) and the mitochondrial control region (268 bp) to elucidate both current and historical phylogeographical patterning. Results: We found evidence for slight isolation by distance in modern populations, as well as differentiation associated with time, both of which can likely be attributed to random genetic drift. Despite high sequence diversity (11.2% cytochrome b, 16.4% control region), no evidence for spatial structure (from Bayesian trees) is found either in modern samples or ancient samples for either gene, and Bayesian skyline plots suggested little change in the effective population size over the past 40,000 years. Conclusions: It is probable that the high dispersal ability and adaptability of the red fox has contributed to the lack of observable differentiation, which appears to have remained consistent over tens of thousands of years. Generalised patterns of how animals are thought to have responded to historical climatic change are not necessarily valid for all species, and so understanding the differences between species will be critical for predicting how species will be affected by future climatic change.",amber.teacher@helsinki.fi,2011,10.1186/1471-2148-11-214,BMC EVOLUTIONARY BIOLOGY,ancient-dna,EG,AAS,reject,ancient,,,,,,,,,,,,,,,,,,,,,,,,,,exception? I think they have ancient samples,,,,,,,,,
258,,Afrotropical forest-dwelling mongooses (Mammalia: Herpestidae: Crossarchus) investigated by craniometry and mitochondrial DNA,"Sonet, G; Colyn, M; Verheyen, E; Nagy, ZT; Wendelen, W; Van Rompaey, H; Hulselmans, J","On the basis of craniometry, the last systematic revision of cusimanses recognized four species distributed from Guinea (Conakry) to the eastern Democratic Republic of the Congo (DRC). Here, we (re) investigated cusimanses including new specimens collected in Benin, in eastern Cameroon (near the Dja River) and in Central African Republic (CAR) where cusimanses were so far presumed to be absent or had been barely sampled. Using craniometry and two mitochondrial DNA fragments (16S rDNA and cytochrome b), we were able to classify most investigated specimens according to the current taxonomy (viz. Crossarchus obscurus, C. platycephalus, C. alexandri and C. ansorgei). Interestingly, all the specimens from CAR clustered unambiguously with Crossarchus alexandri in the DNA-based analyses but exhibited skull dimensions that were distinct from the four recognized species. Our craniometric and mitochondrial DNA analyses offered two valuable complementary viewpoints to characterize cusimanses but were insufficient to provide a firm taxonomic conclusion about the specimens from CAR. Phylogenetic analyses based on mitochondrial DNA suggested that the two sympatric species living on the left bank of the Congo River were sister-species.",gontran.sonet@naturalsciences.be; Marc.Colyn@univ-rennes1.fr; erik.verheyen@uantwerpen.be; ztnagy@naturalsciences.be; wim.wendelen@africamuseum.be; jan.hulselmans@uantwerpen.be,2014,10.1111/jzs.12066,JOURNAL OF ZOOLOGICAL SYSTEMATICS AND EVOLUTIONARY RESEARCH,museum-dna,JW,AAS,reject,non-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1878,,Mitochondrial DNA reveals a mosaic pattern of phylogeographical structure in Atlantic and Mediterranean populations of anchovy (Engraulis encrasicolus),"Magoulas, A; Castilho, R; Caetano, S; Marcato, S; Patarnello, T","This study extends the geographic coverage of a previous study of mitochondrial DNA restriction fragment length polymorphism in European anchovy. Both studies together include 24 samples representing 17 localities extending from the Black Sea, through the Mediterranean Sea to the eastern Atlantic as far south as Dakar, Senegal. Eighty-eight haplotypes define two clades (A and B) separated by 3.2% sequence divergence. Clade A has a star-like genealogy indicative of a recent population expansion. Clade B has a more complex genealogy, consisting of several haplotypes at intermediate frequencies. The distributions of these clades consist of a mosaic with abrupt changes between some areas and gradients between other areas. Clade A predominates the Black and Aegean seas, but is present throughout the Mediterranean. Unexpectedly, new data show that clade A is also at a high frequency in the Atlantic, from Portugal to at least Senegal. Overall, the level of genetic differentiation among populations is high (FST = 0. 148, p < 0.0001), with the greatest differences between basins. AMOVA reveals four main geographical groups: Atlantic, central Mediterranean, Aegean Sea, and Black Sea. Mismatch distribution clearly indicates historical bottleneck and population expansion for clade A, while for clade B such evidence is equivocal. This difference may reflect a range expansion for both clades, but with higher gene flow (Nm values) between demes for clade A. Both contemporary and historical processes are important in shaping the complex genetic population structure of European anchovy. (c) 2006 Elsevier Inc. All rights reserved.",magoulas@her.hcmr.gr,2006,10.1016/j.ympev.2006.01.016,MOLECULAR PHYLOGENETICS AND EVOLUTION,historical-dna,JW,AAS,reject,non-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2886,,Genetic landscape with sharp discontinuities shaped by complex demographic history in moose ( Alces alces ),"Wennerstrom, L; Ryman, N; Tison, JL; Hasslow, A; Dalen, L; Laikre, L","The moose (Alces alces) is the most intensely managed game species in Fennoscandia; approximately one-third of the population, ca. 160,000 animals, is harvested annually. Despite the species' biological and socioeconomic importance, there are knowledge gaps with respect to its intraspecific diversity and genetic structure. Recent studies of moose in neighboring countries report 2 genetic groups in Finland, 3 in Norway with one of them suggested to be of ancient origin, and no indications of bottlenecks. To delineate the spatial genetic landscape of the Swedish moose, we used allozyme variability from over 20,000 georeferenced moose collected all over Sweden in combination with 12 microsatellites (n = 1,200) and mitochondrial DNA (mtDNA) sequences (n = 44). We combined individual-based and traditional statistical approaches with coalescence-based simulations. The results indicate a complex history with bottlenecks and recent expansions that is consistent with historical records. Swedish moose are separated into 2 major genetic groups, a northern and a southern one, where the southern group is further divided into 3 subgroups. The 2 main subpopulations are moderately differentiated (F-ST = 0.1; R-ST = 0.07) and separated by sharp genetic discontinuities occurring over a relatively narrow transition zone in central Sweden that coincides with a similar, previously reported transition zone in Norway. This differentiation is not reflected in mtDNA variation, where no significant divergence was observed. Together with the F-ST andR(ST) similarities, this suggests that the 2 major subpopulations in Sweden reflect divergence shaped after the postglacial recolonization of Scandinavia. Neighborhood size assessments indicate that gene flow is relatively restricted with an estimated average dispersal distance of 3.5-11.1 km, and spatial autocorrelograms suggest that genetic similarity decreases almost linearly over space resulting in continuous genetic clines within major subgroups. Management areas largely coincide with genetic clusters, simplifying the integration of genetic information into management.",lovisa.wennerstrom@zoologi.su.se,2016,10.1093/jmammal/gyv146,JOURNAL OF MAMMALOGY,ancient-dna,JW,AAS,reject,non-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512,,Causations of phylogeographic barrier of some rocky shore species along the Chinese coastline,"Wang, J; Tsang, LM; Dong, YW","Background: Substrate, ocean current and freshwater discharge are recognized as important factors that control the larval dispersal and recruitment of intertidal species. Life history traits of individual species will determine the differential responses to these physical factors, and hence resulting in contrasting phylogeography across the same biogeographic barrier. To determine how these factors affect genetic structure of rocky shore species along the China coast, a comparative phylogeographic study of four intertidal and subtidal species was conducted using mitochondrial and nuclear DNA by combining new sequences from Siphonaria japonica with previously published sequences from three species (Cellana toreuma, Sargassum horneri and Atrina pectinata). Results: Analysis of molecular variance and pairwise FST revealed significant genetic differences between the Yellow Sea (YS) and the other two marginal seas (East China Sea, ECS and South China Sea, SCS) for rocky-shore species (S. japonica, C. toreuma, S. horneri), but not for muddy-shore species Atrina pectinata. Demographic history analysis proved that the population size of all these four species were persistent though the Last Glacial Maximum (LGM, similar to 20 ka BP). Migration analysis revealed that gene flow differentiated northward and southward migration for these four species. However, the inferred direction of gene flow using alternatively mitochondrial or nuclear markers was contradictory in S. japonica. Conclusions: It is concluded that there is a phylogeographical break at the Yangtze River estuary for the rocky shore species and the causation of the barrier is mainly due to the unsuitable substratum and freshwater discharge. All four intertidal and subtidal species appear to have persisted through the LGM in China, indicating the lower impact of LGM on intertidal and subtidal species than generally anticipated. The imbalanced gene flow between YS and ESCS groups for these four species could be explained by historical refugia. The discordance between mitochondrial and nuclear markers in the MIGRATE analysis of S. japonica prove the importance of employing multi-locus data in biogeographic study. Climate change, land reclamation and dam construction, which are changing substrate and hydrological conditions around Yangtze River estuary, will consequently affect the biogeographic pattern of intertidal species.",dongyw@xmu.edu.cn,2015,10.1186/s12862-015-0387-0,BMC EVOLUTIONARY BIOLOGY,historical-dna,KC,AAS,reject,non-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
