Article_Number,Second_Filter_Flag,Article_Title,Authors,Abstract,Email_Addresses,Publication_Year,DOI,Source_Title,Keyword_Search,Reviewer,Recorder,Decision,Removal_Criteria,study_type,subject_1,subject_2,subject_3,subject_4,hybridization,system,tax_group,country_samp,loc_samp,year_samp,num_samp,num_timepoints,earliest_timepoint,latest_timepoint,gen_time,study_design,type_change,driver_process1,driver_process2,driver_process3,length_process,data_type,tissue_type,preserv_method,extract_method,seq_platform,lib_prep_method,notes
9420,NA,Historical DNA documents long-distance natal homing in marine fish,"Bonanomi, S; Therkildsen, NO; Retzel, A; Hedeholm, RB; Pedersen, MW; Meldrup, D; Pampoulie, C; Hemmer-Hansen, J; Gronkjaer, P; Nielsen, EE","The occurrence of natal homing in marine fish remains a fundamental question in fish ecology as its unequivocal demonstration requires tracking of individuals from fertilization to reproduction. Here, we provide evidence of long-distance natal homing (>1000 km) over more than 60 years in Atlantic cod (Gadus morhua), through genetic analysis of archived samples from marked and recaptured individuals. Using a high differentiation single-nucleotide polymorphism assay, we demonstrate that the vast majority of cod tagged in West Greenland and recaptured on Icelandic spawning grounds belonged to the Iceland offshore population, strongly supporting a hypothesis of homing. The high degree of natal fidelity observed provides the evolutionary settings for development of locally adapted populations in marine fish and emphasize the need to consider portfolio effects in marine fisheries management strategies.",sara.bonanomi@an.ismar.cnr.it,2016,10.1111/mec.13580,MOLECULAR ECOLOGY,historical-dna,JW,ACS,accept,accept,empirical,adaptation,connectivity,NA,NA,no,marine,Actinopterygii,Greenland,Western Coast of Greenland,"2006.01.01,1970.01.01,1952.01.01","15, 54, 77",3,1952.01.01,2006.01.01,1095-2920 (DOI: 10.2960/J.v25.a10),pre-designed,natural,env_variation,NA,NA,chronic,SNP,bone,dried,omega,BioMark HD System),PCR,"RC: 2006.01.01 = midpoint between 2003 & 2010, 1970.01.01 = midpoint between 1960 & 1980, 1952.01.01 = midpoint between 1946 & 1959"
4645,NA,Coexistence mechanisms and the paradox of the plankton: quantifying selection from noisy data,"Fox, JW; Nelson, WA; McCauley, E","Many species of phytoplankton typically co-occur within a single lake, as do many zooplankton species (the """"paradox of the plankton''). Long-term co-occurrence suggests stable coexistence. Coexistence requires that species be equally """"fit'' on average. Coexistence mechanisms can equalize species' long-term average fitnesses by reducing fitness differences to low levels at all times, and by causing species' relative fitness to fluctuate over time, thereby reducing differences in time-averaged fitness. We use recently developed time series analysis techniques drawn from population genetics to estimate the strength of net selection (time-averaged selection over a year) and fluctuating selection (an index of the variation in selection throughout the year) in natural plankton communities. Analysis of 99 annual time series of zooplankton species dynamics and 49 algal time series reveals that within-year net selection generally is statistically significant but ecologically weak. Rates of net selection are; 10 times faster in laboratory competition experiments than in nature, indicating that natural coexistence mechanisms are strong. Most species experience significant fluctuating selection, indicating that fluctuation-dependent mechanisms may contribute to coexistence. Within-year net selection increases with enrichment, implying that among-year coexistence mechanisms such as trade-offs between competitive ability and resting egg production are especially important at high enrichment. Fluctuating selection also increases with enrichment but is independent of the temporal variance of key abiotic factors, suggesting that fluctuating selection does not emerge solely from variation in abiotic conditions, as hypothesized by Hutchinson. Nor does fluctuating selection vary among lake-years because more variable abiotic conditions comprise stronger perturbations to which species exhibit frequency-dependent responses, since models of this mechanism fail to reproduce observed patterns of fluctuating selection. Instead, fluctuating selection may arise from internally generated fluctuations in relative fitness, as predicted by models of fluctuation-dependent coexistence mechanisms. Our results place novel constraints on hypotheses proposed to explain the paradox of the plankton.",jefox@ucalgary.ca,2010,10.1890/09-0951.1,ECOLOGY,temporal-genetics,KC,ACS,reject,non-genetic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1070,NA,Microevolution in time and space: SNP analysis of historical DNA reveals dynamic signatures of selection in Atlantic cod,"Therkildsen, NO; Hemmer-Hansen, J; Als, TD; Swain, DP; Morgan, MJ; Trippel, EA; Palumbi, SR; Meldrup, D; Nielsen, EE","Little is known about how quickly natural populations adapt to changes in their environment and how temporal and spatial variation in selection pressures interact to shape patterns of genetic diversity. We here address these issues with a series of genome scans in four overfished populations of Atlantic cod (Gadus morhua) studied over an 80-year period. Screening of >1000 gene-associated single-nucleotide polymorphisms (SNPs) identified 77 loci that showed highly elevated levels of differentiation, likely as an effect of directional selection, in either time, space or both. Exploratory analysis suggested that temporal allele frequency shifts at certain loci may correlate with local temperature variation and with life history changes suggested to be fisheries induced. Interestingly, however, largely nonoverlapping sets of loci were temporal outliers in the different populations and outliers from the 1928 to 1960 period showed almost complete stability during later decades. The contrasting microevolutionary trajectories among populations resulted in sequential shifts in spatial outliers, with no locus maintaining elevated spatial differentiation throughout the study period. Simulations of migration coupled with observations of temporally stable spatial structure at neutral loci suggest that population replacement or gene flow alone could not explain all the observed allele frequency variation. Thus, the genetic changes are likely to at least partly be driven by highly dynamic temporally and spatially varying selection. These findings have important implications for our understanding of local adaptation and evolutionary potential in high gene flow organisms and underscore the need to carefully consider all dimensions of biocomplexity for evolutionarily sustainable management.",nthe@stanford.edu,2013,10.1111/mec.12260,MOLECULAR ECOLOGY,ancient-dna,KJ,ACS,accept,accept,empirical,adaptation,diversity,NA,NA,no,marine,Actinopterygii,Canada,"3NO.3Ps.4VsW, 4T, 4T, 3Ps, 3NO, 4T, 4T, 3NO, 4T, 3Ps, 4VsW, 4T.3NO, 4T","2010.01.01, 2008.01.01, 2002.01.01, 1993.01.01, 1990.01.01, 1983.01.01, 1976.01.01, 1973.01.01, 1968.01.01, 1964.01.01, 1961.01.01, 1960.01.01, 1928.01.01","32.26.22, 39, 29, 25, 37, 37, 50, 37, 31, 33, 16, 37.28, 29","2,3,4,7",1928.01.01,2008.01.01,1095-2920 (DOI: 10.2960/J.v25.a10),opportunistic,anthropogenic,human_exploitation,env_variation,NA,chronic,SNP,bone,dried,omega,Illumina_HiSeq,PCR,"4T, 3NO, 3Ps, and 4VsW are Northwest Atlantic Fishery Organization(NAFO) management areas for cod"
5397,NA,Genetic and morphometric analysis of sixteenth century Canis skull fragments: implications for historic eastern and gray wolf distribution in North America,"Rutledge, LY; Bos, KI; Pearce, RJ; White, BN","Resolving the taxonomy and historic ranges of species are essential to recovery plans for species at risk and conservation programs that aim to restore extirpated populations. In eastern North America, planning for wolf population restoration is complicated by the disputed historic distributions of two wolf species: the Old World-evolved gray wolf (Canis lupus) and the New World-evolved eastern wolf (C. lycaon). We used genetic and morphometric data from 4- to 500-year-old Canis samples excavated in London, Ontario, Canada to help clarify the historic range of these two wolf species in the eastern temperate forests of North America. We isolated DNA and sequenced the mitochondrial control region and found that none of the samples were of gray wolf origin. Two of the DNA sequences corresponded to those found in present day coyotes (C. latrans), but morphometric comparisons show an eastern wolf, not coyote, origin. The remaining two sequences matched ancient domestic dog haplotypes. These results suggest that the New World-evolved eastern wolf, not the gray wolf, occupied this region prior to the arrival of European settlers, although eastern-gray wolf hybrids cannot be ruled out. Furthermore, our data support the idea of a shared common ancestry between eastern wolves and western coyotes, and that the distribution of gray wolves at this time probably did not include the eastern temperate forests of North America.",lrutledge@nrdpfc.ca,2010,10.1007/s10592-009-9957-2,CONSERVATION GENETICS,ancient-dna,JW,ACS,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5694,NA,THE INTENSITY OF SELECTION ACTING ON THE COUCH POTATO GENE-SPATIAL-TEMPORAL VARIATION IN A DIAPAUSE CLINE,"Cogni, R; Kuczynski, C; Koury, S; Lavington, E; Behrman, EL; O'Brien, KR; Schmidt, PS; Eanes, WF","Cosmopolitan populations of Drosophila melanogaster have co-opted a form of reproductive diapause to overwinter in northern populations. Polymorphism in the couch potato gene has been implicated in genetic variation for this diapause trait. Using a collection of 20 populations from Florida to Canada and 11 collections from 3 years in a Pennsylvania orchard, we estimated the allele frequencies for 15 single nucleotide polymorphisms (SNPs) in the couch potato gene. These include the specific polymorphism associated with diapause inducability. We find that the SNP polymorphism, 48034(A/T), is correlated with latitude and its frequencies are predicted by the incidence of diapause trait. We find that the clinal patterns for cpo SNPs sampled in 1997 are similar to the same SNPs sampled in 2009-2010. SNPs that show apparent associations with cpo expression are also clinal with the low-expression allele increasing in frequency, as would be predicted from functional knockout studies of cpo. Finally, we see a significant pattern where the frequency of the diapause-causing allele drops in frequency during the summer season, consistent with the drop in the incidence of the diapause trait. The selection required to drive this response is large, roughly 24% to 59% per generation depending on the degree of dominance.",walter.eanes@stonybrook.edu,2014,10.1111/evo.12291,EVOLUTION,temporal-genetics,JW,ACS,accept,accept,empirical,adaptation,diversity,NA,NA,no,terrestrial,Insecta,"Canada, USA",Media(PA),"2011.06.01,2010.11.01,2010.10.01,2010.09.01,2010.08.01,2010.07.01,2010.06.01,2009.11.01,2009.10.01,2009.08.01,2009.07.01","47,23,23,38,40,67,9,49,19,9,39",11,2009.07.01,2011.06.01,21 (see paper),pre-designed,natural,env_variation,NA,NA,chronic,SNP,skin,ethanol,NA,454-pyrosequencing,NA,extract_method NA; num_samp estimated from effective number of chromosomes (~n/3)
7864,NA,Enjoying the warming Mediterranean: Transcriptomic responses to temperature changes of a thermophilous keystone species in benthic communities,"Perez-Portela, R; Riesgo, A; Wangensteen, OS; Palacin, C; Turon, X","Information about the genomic processes underlying responses to temperature changes is still limited in non-model marine invertebrates. In this sense, transcriptomic analyses can help to identify genes potentially related to thermal responses. We here investigated, via RNA-seq, whole-transcriptomic responses to increased and decreased temperatures in a thermophilous keystone sea urchin,Arbacia lixula, whose populations are increasing in the Mediterranean. This species is a key driver of benthic communities' structure due to its grazing activity. We found a strong response to experimentally induced cold temperature (7 degrees C), with 1,181 differentially expressed transcripts relative to the control condition (13 degrees C), compared to only 179 in the warm (22 degrees C) treatment. A total of 84 (cold treatment) and three (warm treatment) gene ontology terms were linked to the differentially expressed transcripts. At 7 degrees C the expression of genes encoding different heat shock proteins (HSPs) was upregulated, together with apoptotic suppressor genes (e.g.,Bcl2), genes involved in the infection response and/or pathogen-recognition (e.g., echinoidin) and ATP-associated genes, while protein biosynthesis and DNA replication pathways were downregulated. At 22 degrees C neither HSPs induction nor activation of the previously mentioned pathways were detected, with the exception of some apoptotic-related activities that were upregulated. Our results suggest a strong transcriptional response associated with low temperatures, and support the idea of low water temperature being a major limitation forA. lixulaexpansion across deep Mediterranean and northern Atlantic waters.",rocio_perez@ub.edu,2020,10.1111/mec.15564,MOLECULAR ECOLOGY,historical-dna,AAS,ACS,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2122,NA,Physiological adaptation along environmental gradients and replicated hybrid zone structure in swordtails (Teleostei: Xiphophorus),"Culumber, ZW; Shepard, DB; Coleman, SW; Rosenthal, GG; Tobler, M","Local adaptation is often invoked to explain hybrid zone structure, but empirical evidence of this is generally rare. Hybrid zones between two poeciliid fishes, Xiphophorus birchmanni and X. malinche, occur in multiple tributaries with independent replication of upstream-to-downstream gradients in morphology and allele frequencies. Ecological niche modelling revealed that temperature is a central predictive factor in the spatial distribution of pure parental species and their hybrids and explains spatial and temporal variation in the frequency of neutral genetic markers in hybrid populations. Among populations of parentals and hybrids, both thermal tolerance and heat-shock protein expression vary strongly, indicating that spatial and temporal structure is likely driven by adaptation to local thermal environments. Therefore, hybrid zone structure is strongly influenced by interspecific differences in physiological mechanisms for coping with the thermal environment.",zculumber@gmail.com,2012,10.1111/j.1420-9101.2012.02562.x,JOURNAL OF EVOLUTIONARY BIOLOGY,temporal-genetics,AAS,ACS,accept,accept,empirical,adaptation,NA,NA,NA,yes,terrestrial,Actinopterygii,Mexico,"Calnali(mid), Apantla.Calnali(mid).Xochicoatlán.Tlatemaco, Xochicoatlán, Aguazarca, Xochicoatlán, Aguazarca, Aguazarca, Xochicoatlán, Xochicoatlán, Xochicoatlán, Aguazarca, Papatlatla, Xochicoatlán, SanPedro.Tlatemaco, Calnali(high).Calnali(low).Calnali(mid), Tula, Apantla, SanPedro, Aguazarca, Calnali(mid), Xochicoatlán, Papatlatla, Tula, Calnali(low), Apantla, Calnali(high).Calnali(mid)","2010.01.01, 2009.06.01, 2009.5.28, 2009.5.26, 2009.03.14, 2009.03.13, 2008.11.21, 2008.11.20, 2008.09.11, 2008.05.29, 2008.05.28, 2008.03.10, 2007.06.14, 2007.06.13, 2007.06.01, 2007.05.17, 2006.06.28, 2006.06.18, 2005.12.01, 2005.11.12, 2005.06.14, 2005.06.01, 2005.04.17, 2004.03.01, 2003.04.19, 2003.04.14",NA,"2,3,5,8",2003.04.14,2010.01.01,243-365 (fishbase),pre-designed,natural,env_variation,NA,NA,acute,SNP,fin,ethanol,Qiagen,NA,PCR,num.samped = NA
2176,NA,Multiple losses of flight and recent speciation in steamer ducks,"Fulton, TL; Letts, B; Shapiro, B","Steamer ducks (Tachyeres) comprise four species, three of which are flightless. The flightless species are believed to have diverged from a flying common ancestor during the Late Pleistocene; however, their taxonomy remains contentious. Of particular interest is the previously unstudied population of flying steamer ducks in the Falkland Islands. We present the first genetic data from this insular population, and illustrate that the flying and flightless steamer ducks on the Falkland Islands are genetically indistinguishable, in contrast to their traditional classification as separate species. The three species that reside in continental South America form a genetically distinct lineage from the Falkland Island ducks. The Falkland steamer ducks diverged from their continental relatives 2.2-0.6 million years ago, coincident with a probable land bridge connecting the Falkland Islands to the mainland. The three continental species share a common ancestor approximately 15 000 years ago, possibly owing to isolation during a recent glacial advance. The continental steamer duck species are not reciprocally monophyletic, but show some amount of genetic differentiation between them. Each lineage of Tachyeres represents a different stage between flight and flightlessness. Their phylogenetic relationships suggest multiple losses of flight and/or long-term persistence of mixed-flight capability. As such, steamer ducks may provide a model system to study the evolution of flightlessness.",beth.shapiro@psu.edu,2012,10.1098/rspb.2011.2599,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,museum-dna,AAS,ACS,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,uses museum samples but lumps them together with modern samples
3868,NA,Slow DNA Loss in the Gigantic Genomes of Salamanders,"Sun, C; Arriaza, JRL; Mueller, RL","Evolutionary changes in genome size result from the combined effects of mutation, natural selection, and genetic drift. Insertion and deletion mutations (indels) directly impact genome size by adding or removing sequences. Most species lose more DNA through small indels (i.e., similar to 1-30 bp) than they gain, which can result in genome reduction over time. Because this rate of DNA loss varies across species, small indel dynamics have been suggested to contribute to genome size evolution. Species with extremely large genomes provide interesting test cases for exploring the link between small indels and genome size; however, most large genomes remain relatively unexplored. Here, we examine rates of DNA loss in the tetrapods with the largest genomes-the salamanders. We used low-coverage genomic shotgun sequence data from four salamander species to examine patterns of insertion, deletion, and substitution in neutrally evolving non-long terminal repeat (LTR) retrotransposon sequences. For comparison, we estimated genome-wide DNA loss rates in non-LTR retrotransposon sequences from five other vertebrate genomes: Anolis carolinensis, Danio rerio, Gallus gallus, Homo sapiens, and Xenopus tropicalis. Our results show that salamanders have significantly lower rates of DNA loss than do other vertebrates. More specifically, salamanders experience lower numbers of deletions relative to insertions, and both deletions and insertions are skewed toward smaller sizes. On the basis of these patterns, we conclude that slow DNA loss contributes to genomic gigantism in salamanders. We also identify candidate molecular mechanisms underlying these differences and suggest that natural variation in indel dynamics provides a unique opportunity to study the basis of genome stability.",Rachel.Mueller@colostate.edu,2012,10.1093/gbe/evs103,GENOME BIOLOGY AND EVOLUTION,museum-dna,AAS,ACS,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5074,NA,The environmental and genetic determinants of chick telomere length in Tree Swallows (Tachycineta bicolor),"Belmaker, A; Hallinger, KK; Glynn, RA; Winkler, DW; Haussmann, MF","Conditions during early life can have dramatic effects on adult characteristics and fitness. However, we still know little about the mechanisms that mediate these relationships. Telomere shortening is one possibility. Telomeres are long sequences of DNA that protect the ends of chromosomes. They shorten naturally throughout an individual's life, and individuals with short telomeres tend to have poorer health and reduced survival. Given this connection between telomere length (TL) and fitness, natural selection should favor individuals that are able to retain longer telomeres for a greater portion of their lives. However, the ability of natural selection to act on TL depends on the extent to which genetic and environmental factors influence TL. In this study, we experimentally enlarged broods of Tree Swallows (Tachycineta bicolor) to test the effects of demanding early-life conditions on TL, while simultaneously cross-fostering chicks to estimate heritable genetic influences on TL. In addition, we estimated the effects of parental age and chick sex on chick TL. We found that TL is highly heritable in Tree Swallow chicks, and that the maternal genetic basis for TL is stronger than is the paternal genetic basis. In contrast, the experimental manipulation of brood size had only a weak effect on chick TL, suggesting that the role of environmental factors in influencing TL early in life is limited. There was no effect of chick sex or parental age on chick TL. While these results are consistent with those reported in some studies, they are in conflict with others. These disparate conclusions might be attributable to the inherent complexity of telomere dynamics playing out differently in different populations or to study-specific variation in the age at which subjects were measured.",belmakera@tauex.tau.ac.il,2019,10.1002/ece3.5386,ECOLOGY AND EVOLUTION,historical-dna,AAS,KF,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No temporal data collection/comparison between years
8728,NA,Linking intronic polymorphism on the CHD1-Z gene with fitness correlates in Black-tailed Godwits Limosa l. limosa,"Schroeder, J; Kentie, R; van der Velde, M; Hooijmeijer, JCEW; Both, C; Haddrath, O; Baker, AJ; Piersma, T","We show that variation in an intronic length polymorphism in the CHD1-Z gene in Black-tailed Godwits Limosa l. limosa is associated with fitness correlates. This is the second example of the CHDZ-1 gene being correlated with fitness, a previous study having established that Moorhens Gallinula chloropus carrying the rare Z* allele have reduced survival. In Godwits, however, carriers of the Z* allele (374 bp) fared better than those with the more frequent Z allele (378 bp) with respect to body mass, plumage ornamentation, reproductive parameters and habitat quality. The Z* allele was found in 14% of 251 adult birds from nature reserves, but was absent from 33 birds breeding in intensively managed agricultural lands. Males and females with the Z* allele had less extensive breeding plumage, and females had a higher body mass, bred earlier and had larger eggs. There were no significant differences in annual survival between birds with and without the Z* allele. DNA isolated from museum skins demonstrated that this polymorphism was present at low frequency in 1929. We speculate that strong asymmetrical overdominance may explain the low frequency of the Z* allele and that genetic linkage to causal genes might be an explanation for the phenotypic correlations. Our findings suggest a degree of cryptic genetic population structuring in the Dutch Godwit population.",julia.schroeder@gmail.com,2010,10.1111/j.1474-919X.2009.01005.x,IBIS,historical-dna,AAS,KF,accept,accept,empirical,adaptation,NA,NA,NA,no,terrestrial,Aves,Netherlands,Friesland,"2007.01.01, 1931.01.01","284, 34",2,1931.01.01,2007.01.01,2190,opportunistic,natural,env_variation,NA,NA,chronic,nuclear_seq,skin,dried,"Walsh_etal_1991, Baker_etal_2005",NA,PCR,Generation time from HELCOM Red List Bird Expert Group 2013; No mention of data type- using PCR to target a certain locus/gene
11158,NA,"Colour-assortative mating among populations of Tropheus moorii, a cichlid fish from Lake Tanganyika, East Africa","Salzburger, W; Niederstatter, H; Brandstatter, A; Berger, B; Parson, W; Snoeks, J; Sturmbauer, C","The species flocks of cichlid fishes in the East African Lakes Tanganyika, Malawi and Victoria are prime examples of adaptive radiation and explosive speciation. Several hundreds of endemic species have evolved in each of the lakes over the past several thousands to a few millions years. Sexual selection via colour-assortative mating has often been proposed as a probable causal factor for initiating and maintaining reproductive isolation. Here, we report the consequences of human-mediated admixis among differentially coloured populations of the endemic cichlid fish Tropheus moorii from several localities that have accidentally been put in sympatry in a small harbour bay in the very south of Lake Tanganyika. We analysed the phenotypes (coloration) and genotypes (mitochondrial control region and five microsatellite loci) of almost 500 individuals, sampled over 3 consecutive years. Maximum-likelihood-based parenthood analyses and Bayesian inference of population structure revealed that significantly more juveniles are the product of within-colour-morph matings than could be expected under the assumption of random mating. Our results clearly indicate a marked degree of assortative mating with respect to the different colour morphs. Therefore, we postulate that sexual selection based on social interactions and female mate choice has played an important role in the formation and maintenance of the different colour morphs in Tropheus, and is probably common in other maternally mouthbrooding cichlids as well.",walter.salzburger@uni-konstanz.de,2006,10.1098/rspb.2005.3321,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,museum-dna,AAS,KF,accept,accept,empirical,adaptation,NA,NA,NA,yes,freshwater,Actinopterygii,Zambia,Mpulungu,"2001.02.01, 2000.02.01, 1999.02.01","150, 189, 118",3,1999.02.01,2001.02.01,621,pre-designed,anthropogenic,human_exploitation,NA,NA,acute,mtDNA_seq,skin,ethanol,Bruford_etal_1998,NA,PCR,Both mtDNA and microsats. Not sure about the subject because it is looking a sexual selection. Generation time from FishBase.
63,NA,Genome-Wide Changes in Genetic Diversity in a Population of Myotis lucifugus Affected by White-Nose Syndrome,"Lilley, TM; Wilson, IW; Field, KA; Reeder, DM; Vodzak, ME; Turner, GG; Kurta, A; Blomberg, AS; Hoff, S; Herzog, CJ; Sewall, BJ; Paterson, S","Novel pathogens can cause massive declines in populations, and even extirpation of hosts. But disease can also act as a selective pressure on survivors, driving the evolution of resistance or tolerance. Bat white-nose syndrome (WNS) is a rapidly spreading wildlife disease in North America. The fungus causing the disease invades skin tissues of hibernating bats, resulting in disruption of hibernation behavior, premature energy depletion, and subsequent death. We used whole-genome sequencing to investigate changes in allele frequencies within a population of Myotis lucifugus in eastern North America to search for genetic resistance to WNS. Our results show low F-ST values within the population across time, i.e., prior to WNS (Pre-WNS) compared to the population that has survived WNS (Post-WNS). However, when dividing the population with a geographical cut-off between the states of Pennsylvania and New York, a sharp increase in values on scaffold GL429776 is evident in the Post-WNS samples. Genes present in the diverged area are associated with thermoregulation and promotion of brown fat production. Thus, although WNS may not have subjected the entire M. lucifugus population to selective pressure, it may have selected for specific alleles in Pennsylvania through decreased gene flow within the population. However, the persistence of remnant sub-populations in the aftermath of WNS is likely due to multiple factors in bat life history.",thomas.lilley@helsinki.fi,2020,10.1534/g3.119.400966,G3-GENES GENOMES GENETICS,historical-dna,ACS,KF,accept,accept,empirical,adaptation,diversity,NA,NA,no,terrestrial,Mammalia,United States,"Pennsylvania.NewYork, Pennsylvania, Pennsylvania.NewYork, Pennsylvania","2016.01.01, 2015.01.01, 2007.01.01, 2006.01.01","82.57, 28, 4.24, 25","4,2",2006.01.01,2016.01.01,1095-3650,opportunistic,natural,disease,NA,NA,acute,nuclear_seq,skin,"ethanol, frozen",QIAmp DNA Mini Kits,Illumina_HiSeq,Whole_genome,Generation time from https://www.canada.ca/en/environment-climate-change/services/species-risk-public-registry/cosewic-assessments/little-brown-myotis-technical-summary-2012.html
5625,NA,Contrasting signatures of introgression in North American box turtle (Terrapenespp.) contact zones,"Martin, BT; Douglas, MR; Chafin, TK; Jr, JSP; Birkhead, RD; Phillips, CA; Douglas, ME","Hybridization occurs differentially across the genome in a balancing act between selection and migration. With the unprecedented resolution of contemporary sequencing technologies, selection and migration can now be effectively quantified such that researchers can identify genetic elements involved in introgression. Furthermore, genomic patterns can now be associated with ecologically relevant phenotypes, given availability of annotated reference genomes. We do so in North American box turtles (Terrapene) by deciphering how selection affects hybrid zones at the interface of species boundaries and identifying genetic regions potentially under selection that may relate to thermal adaptations. Such genes may impact physiological pathways involved in temperature-dependent sex determination, immune system functioning and hypoxia tolerance. We contrasted these patterns across inter- and intraspecific hybrid zones that differ temporally and biogeographically. We demonstrate hybridization is broadly apparent inTerrapene, but with observed genomic cline patterns corresponding to species boundaries at loci potentially associated with thermal adaptation. These loci display signatures of directional introgression within intraspecific boundaries, despite a genome-wide selective trend against intergrades. In contrast, outlier loci for interspecific comparisons exhibited evidence of being under selection against hybrids. Importantly, adaptations coinciding with species boundaries inTerrapeneoverlap with climatic boundaries and highlight the vulnerability of these terrestrial ectotherms to anthropogenic pressures.",btm002@uark.edu,2020,10.1111/mec.15622,MOLECULAR ECOLOGY,historical-dna,ACS,KF,reject,non-temporal,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cool paper about local adaptation in box turtles, but no temporal comparisons (used some museum specimens but pooled them with the other specimens)"
1291,NA,Intense selective hunting leads to artificial evolution in horn size,"Pigeon, G; Festa-Bianchet, M; Coltman, DW; Pelletier, F","The potential for selective harvests to induce rapid evolutionary change is an important question for conservation and evolutionary biology, with numerous biological, social and economic implications. We analyze 39 years of phenotypic data on horn size in bighorn sheep (Ovis canadensis) subject to intense trophy hunting for 23 years, after which harvests nearly ceased. Our analyses revealed a significant decline in genetic value for horn length of rams, consistent with an evolutionary response to artificial selection on this trait. The probability that the observed change in male horn length was due solely to drift is 9.9%. Female horn length and male horn base, traits genetically correlated to the trait under selection, showed weak declining trends. There was no temporal trend in genetic value for female horn base circumference, a trait not directly targeted by selective hunting and not genetically correlated with male horn length. The decline in genetic value for male horn length stopped, but was not reversed, when hunting pressure was drastically reduced. Our analysis provides support for the contention that selective hunting led to a reduction in horn length through evolutionary change. It also confirms that after artificial selection stops, recovery through natural selection is slow.",Gabriel.Pigeon@USherbrooke.ca,2016,10.1111/eva.12358,EVOLUTIONARY APPLICATIONS,temporal-genetics,BR,KF,reject,non-genetic,NA,NA,NA,NA,NA,NA,terrestrial,Mammalia,Canada,Ram Mountain Alberta,NA,NA,NA,NA,NA,NA,opportunistic,anthropogenic,human_exploitation,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Counting this as """"accept"""" for now because they are doing quantitative genetic analysis on a trait in addition to microsat-based pedigree; Track phenotype each year but the only genetic sampling done is microsats for pedigree reconstruction, so there is no temporal genomic/genetic sampling component"
6133,NA,Fluctuating selection and its (elusive) evolutionary consequences in a wild rodent population,"Bonnet, T; Postma, E","Temporal fluctuations in the strength and direction of selection are often proposed as a mechanism that slows down evolution, both over geological and contemporary timescales. Both the prevalence of fluctuating selection and its relevance for evolutionary dynamics remain poorly understood however, especially on contemporary timescales: unbiased empirical estimates of variation in selection are scarce, and the question of how much of the variation in selection translates into variation in genetic change has largely been ignored. Using long-term individual-based data for a wild rodent population, we quantify the magnitude of fluctuating selection on body size. Subsequently, we estimate the evolutionary dynamics of size and test for a link between fluctuating selection and evolution. We show that, over the past 11years, phenotypic selection on body size has fluctuated significantly. However, the strength and direction of genetic change have remained largely constant over the study period; that is, the rate of genetic change was similar in years where selection favoured heavier vs. lighter individuals. This result suggests that over shorter timescales, fluctuating selection does not necessarily translate into fluctuating evolution. Importantly however, individual-based simulations show that the correlation between fluctuating selection and fluctuating evolution can be obscured by the effect of drift, and that substantially more data are required for a precise and accurate estimate of this correlation. We identify new challenges in measuring the coupling between selection and evolution, and provide methods and guidelines to overcome them.",timotheebonnetc@gmail.com,2018,10.1111/jeb.13246,JOURNAL OF EVOLUTIONARY BIOLOGY,temporal-genetics,BR,KF,accept,accept,empirical,adaptation,NA,NA,NA,no,terrestrial,Mammalia,Switzerland,Chur,"2016.07.01, 2015.07.01, 2014.07.01, 2013.07.01, 2012.07.01, 2011.07.01, 2010.07.01, 2009.07.01, 2008.07.01, 2007.07.01, 2006.07.01","128, 118, 130, 116, 66, 56, 131, 163, 139, 193, 183",11,2006.07.01,2016.07.01,365,opportunistic,natural,env_variation,NA,NA,chronic,microsat,skin,"ethanol, frozen",NA,NA,PCR,not sure if this fits - using microsats and mtDNA to create a pedigree for quantitative genetic analysis; Tracks phenotype from year to year but need to check if the genetic sampling corresponds
